:START_ID,:END_ID,relation,:TYPE
1,1001,hastype,hastype
5,1002,hastype,hastype
13,1003,hastype,hastype
21,1003,hastype,hastype
30,1004,hastype,hastype
40,1004,hastype,hastype
48,1005,hastype,hastype
59,1002,hastype,hastype
66,1002,hastype,hastype
73,1002,hastype,hastype
81,1002,hastype,hastype
89,1003,hastype,hastype
98,1003,hastype,hastype
108,1004,hastype,hastype
117,1008,hastype,hastype
135,1002,hastype,hastype
142,1002,hastype,hastype
143,1006,hastype,hastype
151,1002,hastype,hastype
159,1003,hastype,hastype
167,1003,hastype,hastype
176,1003,hastype,hastype
185,1004,hastype,hastype
194,1007,hastype,hastype
205,1002,hastype,hastype
215,1002,hastype,hastype
222,1002,hastype,hastype
