index:ID,oldbrand,:LABEL
4000,ZU75CrMo,OldBrand
4001,ZG20Cr25Ni20,OldBrand
4002,ZUB140CrNiMo,OldBrand
4003,ZG12Cr17Mn9Ni4Mo3Cu2N,OldBrand
4004,ZG120Mn17Cr2,OldBrand
4005,ZUS140SiCrMo,OldBrand
4006,ZG30Cr18Mn12Si2N,OldBrand
4007,ZG35Cr26Ni12,OldBrand
4008,ZG20Cr20Mn9Ni2SiN,OldBrand
4009,ZU70Mn2,OldBrand
4010,ZG08Cr19Ni11Mo3,OldBrand
4011,ZU75CrNiMnMo,OldBrand
4012,ZG03Cr22Ni5Mo3N,OldBrand
4013,ZUB160CrMo,OldBrand
4014,ZG120Mn13Ni3,OldBrand
4015,ZG12Cr18Mn13Mo2CuN,OldBrand
4016,ZG40Cr17Si2,OldBrand
4017,ZUS150SiCrNiMo,OldBrand
4018,ZG35Cr24Ni7SiN,OldBrand
4019,ZG35Ni24Cr18Si2,OldBrand
4020,ZU60CrMnMo,OldBrand
4021,ZG40Cr22Ni4N,OldBrand
4022,ZU65CrNiMo,OldBrand
4023,ZG08Cr18Ni12Mo2Ti,OldBrand
4024,ZU70Mn2Mo,OldBrand
4025,ZUB140CrMo,OldBrand
4026,ZG110Mn13Mo1,OldBrand
4027,ZUB160CrNiMo,OldBrand
4028,ZG120Mn17,OldBrand
4029,ZG40Cr9Si2,OldBrand
4030,ZG30Cr20Ni10,OldBrand
4031,ZG40Cr25Ni20,OldBrand
4032,ZG30Cr25Ni20,OldBrand
4033,ZU70Mn,OldBrand
